Size,QuickSortTime(ms), BingoSortTime(ms)
1000,0,2
2000,0,0
3000,0,0
4000,0,0
5000,0,0
6000,0,1
7000,0,1
8000,0,1
9000,0,1
10000,0,1
11000,0,2
12000,0,2
13000,0,2
14000,0,2
15000,0,2
16000,0,3
17000,0,3
18000,0,3
19000,0,3
20000,0,3
21000,0,4
22000,0,4
23000,0,4
24000,0,4
25000,0,4
26000,0,4
27000,0,4
28000,0,5
29000,0,5
30000,1,5
31000,1,5
32000,1,5
33000,1,5
34000,1,6
35000,1,6
36000,1,6
37000,1,6
38000,1,6
39000,1,6
40000,1,6
41000,1,7
42000,1,7
43000,1,7
44000,1,7
45000,1,8
46000,1,7
47000,1,8
48000,1,8
49000,1,8
50000,1,8
51000,1,9
52000,1,9
53000,1,9
54000,2,9
55000,2,9
56000,2,10
57000,2,9
58000,2,10
59000,2,10
60000,2,10
61000,2,10
62000,2,10
63000,2,10
64000,2,11
65000,2,10
66000,2,11
67000,2,11
68000,2,12
69000,2,11
70000,2,11
71000,2,12
72000,2,12
73000,2,12
74000,2,12
75000,3,13
76000,3,13
77000,3,13
78000,3,13
79000,3,13
80000,3,14
81000,3,14
82000,3,14
83000,3,14
84000,3,14
85000,3,14
86000,3,15
87000,3,14
88000,3,15
89000,4,14
90000,3,16
91000,3,16
92000,4,15
93000,4,15
94000,4,16
95000,4,16
96000,4,17
97000,4,16
98000,4,17
99000,4,17
100000,4,17
101000,4,17
102000,4,17
103000,4,18
104000,5,17
105000,4,18
106000,5,18
107000,5,18
108000,5,19
109000,5,17
110000,5,19
111000,5,19
112000,4,19
113000,5,20
114000,5,20
115000,5,20
116000,5,20
117000,5,20
118000,5,20
119000,5,20
120000,5,21
121000,6,21
122000,6,21
123000,6,22
124000,6,21
125000,6,21
126000,6,21
127000,6,22
128000,6,21
129000,6,23
130000,6,22
131000,6,23
132000,6,22
133000,6,23
134000,6,23
135000,7,23
136000,6,23
137000,7,24
138000,7,23
139000,7,23
140000,7,24
141000,7,24
142000,6,24
143000,7,25
144000,7,25
145000,7,25
146000,7,25
147000,7,25
148000,7,26
149000,7,26
150000,7,26
151000,8,26
152000,8,26
153000,8,26
154000,8,27
155000,8,27
156000,8,27
157000,8,27
158000,8,27
159000,8,27
160000,8,28
161000,8,28
162000,8,28
163000,8,27
164000,8,28
165000,9,28
166000,9,29
167000,9,29
168000,9,29
169000,9,30
170000,9,29
171000,9,30
172000,9,30
173000,9,31
174000,9,30
175000,10,31
176000,10,31
177000,9,31
178000,10,31
179000,10,31
180000,10,31
181000,10,30
182000,10,32
183000,10,31
184000,10,32
185000,10,31
186000,10,32
187000,11,33
188000,10,33
189000,10,33
190000,11,33
191000,11,32
192000,11,33
193000,11,34
194000,11,34
195000,11,33
196000,11,34
197000,11,33
198000,11,34
199000,11,34
200000,12,35
201000,12,34
202000,12,35
203000,12,35
204000,12,35
205000,12,36
206000,12,36
207000,12,36
208000,13,36
209000,13,36
210000,13,36
211000,13,37
212000,13,37
213000,13,37
214000,13,37
215000,13,37
216000,13,38
217000,13,41
218000,14,41
219000,14,38
220000,14,38
221000,14,38
222000,14,38
223000,14,39
224000,14,39
225000,14,39
226000,14,39
227000,15,39
228000,15,40
229000,15,40
230000,15,40
231000,15,40
232000,15,40
233000,15,41
234000,15,40
235000,15,40
236000,15,41
237000,15,42
238000,15,41
239000,16,41
240000,16,42
241000,16,42
242000,16,42
243000,16,42
244000,16,42
245000,16,42
246000,17,43
247000,16,43
248000,16,43
249000,17,44
250000,16,43
